title,link,description,provider
Видеопрактикум по онлайн-бизнесу | E11even Marketing,https://stepik.org/course/53779,"- Что из себя представляют современный онлайн-маркетинг и как создать управляемую систему продаж ваших товаров или услуг в интернет
- 8 рабочих инструментов маркетинга, о которых не знают 99% предпринимателей - Автоматизация бизнеса, автоворонки, автовебинары и прочий ""автомаркетинг"" это МИФ или реальность? И возможно ли создать управляемую систему продаж и вести бизнес с компьютера или смартфона?
- Как совместить множество инструментов маркетинга ( сайты, блоги, инстаграм, таргетинг, вебинары, СРМ и другие ) в единую систему",Stepik
Мини-блокчейн на TypeScript [2021]Rating: 4.3 out of 568 reviews1.5 total hours13 lecturesIntermediate,https://www.udemy.com/course/typescript-blockchain/,TypeScript для начинающих,Udemy
Знакомство с GUI в Python,https://stepik.org/course/127138,"""Знакомство с GUI в Python"" знакомит школьников и всех, кому это интересно, с созданием GUI на высокоуровневом языке программирования Python.
Курс доделан не до конца",Stepik
Quarkus Framework: учебный курс,https://stepik.org/course/109340,"Quarkus Framework - современный Kubernetes-нативный фреймворк для создания enterprise приложений на Java, основанный на спецификации Microprofile. Данный курс содержит уроки и задания по множеству технологий, использующихся в современных бизнес решениях.

Внимание! Курс находится в стадии доработки (новые уроки).",Stepik
Java для всех,https://stepik.org/course/5841,"""Написан однажды - Работает везде!""
Зачем учить Java?
1) для написания программ для мобильных приложений
2) для стабильной высокооплачиваемой работы в корпоративном секторе
3) Проработанный API
4) Большая коллекция библиотек с открытым исходным кодом
5) Полная доступная документация по языку
6) Независимость платформы
7) Java на всех устройствах",Stepik
Программирование на Python,https://stepik.org/course/124422,"""Поколение Python: курс для начинающих"" знакомит школьников и всех, кому это интересно, с программированием. 

Рассказывает об основных типах данных, конструкциях и принципах структурного программирования, используя версию языка Python ветки 3.x.

Выбран Python за ясность кода и быстроту реализации на нем программ.

Цель курса - формирование базовых понятий структурного программирования.

В нем 8 модулей с теоретическими и практическими материалами и заданиями.",Stepik
"Экспресс-курс Edmarket ""Как запустить свой первый онлайн-курс""",https://stepik.org/course/98752,“Дом. задание для EdMarket”.,Stepik
"Методики и алгоритмы работы с детьми, пережившими насилие",https://stepik.org/course/84876,"«Методики и алгоритмы работы с детьми, пережившими сексуальное насилие» - подготовлен РОО СПСБН ""Стеллит"" в продолжение предыдущего курса «Сексуальное насилие и эксплуатация детей: идентификация и помощь», размещенного на данной платформе.",Stepik
Как использовать онлайн образовательную платформу---openedu.ru,https://stepik.org/course/51111,«НАЦИОНАЛЬНАЯ ПЛАТФОРМА ОТКРЫТОГО ОБРАЗОВАНИЯ»,Stepik
Применение онлайн-доски Miro.com при обучении математике,https://stepik.org/course/118232,"«Применение онлайн-доски Miro.com в обучении математике» - онлайн-курс, направленный на развитие навыков и компетенций педагогов, повышение квалификации в области применения онлайн-доски Miro.com в образовательном процессе. Курс поможет в освоении данной платформы, внедрении ее в образовательный процесс.",Stepik
Way to Brain: Введение в Продуктовый дизайн,https://stepik.org/course/88139,"Product designer - крайне востребованная digital-профессия с большими возможностями для роста и заработной платой. Грамотный дизайнер улучшает взаимодействие пользователя с продуктом и растит прибыль у клиента. Он сочетает аналитику и творчество, инженерный подход и нестандартность решений.",Stepik
Статистические методы в управлении инновациями,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=131070,ppв курсе рассматриваются основы статистического учета инноваций основные формы статистического наблюдения система показателей статистики инноваций и интеллектуальной собственности цель курса ndash научить слушателей анализировать и использовать при обосновании управленческих решений статистические показатели инновационной деятельностиppppдля демонстрации возможностей статистических методов используются официальные статистические данные представленные на сайтах росстата емис воис практические занятия проводятся с использованием электронных таблиц разбираются примеры и кейсы по обоснованию управленческих решений по результатам статистического анализа реальных данныхpp,Открытое образование
PowerPoint с нуля до PRO,https://stepik.org/course/104798,"PowerPoint - один из самый удобных инструментов для создания удобных, понятных презентаций. Наш курс поможет Вам овладеть данным приложением с нуля до PRO.",Stepik
Python для детей: первые шаги начинающего программиста,https://stepik.org/course/121477,«Python для детей: первые шаги начинающего программиста» — это первый шаг в мир программирования и для детей младшего и среднего школьного возраста (от 9 лет).,Stepik
Программирование робота в среде TRIK Studio,https://stepik.org/course/135258,"«Trik Studio» – среда визуального и текстового программирования виртуальных и физических роботов.
Благодаря своим особенностям, программный комплекс «Trick Studio» позволит ребенку, без лишних затрат и не выходя из дома, научиться программировать роботов на своем домашнем компьютере.
Программа поддерживает несколько визуальных языков, упрощающих программирование, а написанный алгоритм можно применить как к физическому, так и к виртуальному роботу, тем самым повышая эффективность занятий по робототехнике.",Stepik
Базовый курс по PIXIJS и Tween-анимациям,https://www.udemy.com/course/pixijs-tween-base-course/,"PIXI JS очень широко используется для разработки HTML5 игр, интерактивной рекламы, банеров и анимаций в браузере.",Udemy
Информатика. Изучение Python.,https://stepik.org/course/92129,"///////////////////////////////////////////////////////////////////
Изучение Python на уроках Информатики
\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\",Stepik
Фундаментальные основы развития болезней человека,https://online.edu.ru/public/course.xhtml?faces-redirect=true&cid=11257970,pкурс фундаментальные основы болезней человека включает 4 взаимосвязанных модуля в которых характеризуются причины и механизмы повреждения и репарации клеток тканей органов и их систем развития воспалительного ответа организма на повреждение расстройств иммуногенной реактивности организма лежащих в основе таких социально значимых болезней и форм патологии как аллергия иммунодефицитные состояния нефропатии анемия метаболический синдром и дрppцели изучения учебной программыppумения эффективно решать профессиональные врачебные задачи на основе патофизиологического анализа данных о патологических процессах состояниях реакциях и заболеваниях с использованием знаний об общих закономерностях и механизмах их возникновения развития и завершения а также формулировать принципы алгоритмы стратегию и методы их выявления лечения и профилактикиppметодологической методической и практической базы рационального мышления и эффективного профессионального действия врачаppзадачи изучения учебной программыppсовременных научных представлений об этиологии патогенезе принципах выявления лечения и профилактики социально значимых заболеваний и патологических процессовppумение проводить патофизиологический анализ данных о формах патологии и отдельных наиболее социально значимых болезняхppметодологические и методические основы клинического мышления и рационального действия врачаp,Sechenov Online
